#,Deutsch,Anonym,Bedeutung,Beispiel,Meaning
175,komisch,normal,"funny, strange",Das ist ein komischer Zufall.,That is a strange coincidence.
176,komplett,unvollständig,complete,Die Liste ist komplett.,The list is complete.
177,kompliziert,einfach,complicated,Die Situation ist kompliziert.,The situation is complicated.
178,konkret,abstrakt,concrete,Ich brauche eine konkrete Antwort.,I need a concrete answer.
179,konzentriert,unkonzentriert,concentrated,Er ist sehr konzentriert.,He is very concentrated.
180,krank,gesund,sick,Er ist krank.,He is sick.
181,kreativ,unkreativ,creative,Sie ist sehr kreativ.,She is very creative.
182,kritisch,unkritisch,critical,Er ist sehr kritisch.,He is very critical.
183,kulturell,unkultiviert,cultural,Das ist ein kulturelles Zentrum.,That is a cultural center.
184,künstlerisch,unkünstlerisch,artistic,Er hat eine künstlerische Ader.,He has an artistic streak.
185,künstlich,natürlich,artificial,Die Blume ist künstlich.,The flower is artificial.
186,kurz,lang,short,Der Weg ist kurz.,The path is short.
187,kurzfristig,langfristig,short-term,Das ist eine kurzfristige Lösung.,That is a short-term solution.
188,lang,kurz,long,Der Film ist zu lang.,The film is too long.
189,langsam,schnell,slow,Er spricht sehr langsam.,He speaks very slowly.
190,langweilig,spannend,boring,Der Film ist langweilig.,The movie is boring.
191,launisch,ausgeglichen,moody,Sie ist heute sehr launisch.,She is very moody today.
192,laut,leise,loud,Die Musik ist zu laut.,The music is too loud.
193,lebendig,tot,alive,Er ist noch lebendig.,He is still alive.
194,lecker,ungenießbar,delicious,Das Essen war lecker.,The food was delicious.
195,ledig,verheiratet,single,Ist er ledig?,Is he single?
196,leer,voll,empty,Die Flasche ist leer.,The bottle is empty.
197,legal,illegal,legal,Das ist legal.,That is legal.
198,leicht,schwer,"easy, light",Die Aufgabe ist leicht.,The task is easy.
199,leise,laut,quiet,Bitte sei leise.,Please be quiet.
200,logisch,unlogisch,logical,Deine Argumentation ist logisch.,Your argument is logical.
201,löslich,unlöslich,soluble,Zucker ist in Wasser löslich.,Sugar is soluble in water.
202,loyal,illoyal,loyal,Er ist ein loyaler Freund.,He is a loyal friend.
203,lustig,traurig,funny,Er erzählt lustige Witze.,He tells funny jokes.
204,mager,fett,"lean, skinny",Das Fleisch ist mager.,The meat is lean.
205,männlich,weiblich,male,Das ist ein männliches Tier.,That is a male animal.
206,markant,unauffällig,striking,Er hat eine markante Nase.,He has a striking nose.
207,mechanisch,manuell,mechanical,Das ist ein mechanisches Problem.,That is a mechanical problem.
208,merkwürdig,normal,strange,Das ist eine merkwürdige Geschichte.,That is a strange story.
209,mild,scharf,mild,Das Curry ist mild.,The curry is mild.
210,missmutig,fröhlich,grumpy,Er ist heute sehr missmutig.,He is very grumpy today.
211,monoton,abwechslungsreich,monotonous,Die Arbeit ist monoton.,The work is monotonous.
212,moralisch,unmoralisch,moral,Das ist eine moralische Frage.,That is a moral question.
213,müde,"fit, wach",tired,Ich bin sehr müde.,I am very tired.
214,mutig,feige,brave,Sie ist ein mutiges Mädchen.,She is a brave girl.
215,nachdenklich,gedankenlos,thoughtful,Er ist sehr nachdenklich.,He is very thoughtful.
216,nachhaltig,kurzlebig,sustainable,Das ist eine nachhaltige Lösung.,That is a sustainable solution.
217,nachlässig,akribisch,careless,Er ist nachlässig bei seiner Arbeit.,He is careless with his work.
218,nah,fern,close,Der Supermarkt ist nah.,The supermarket is close.
219,nass,trocken,wet,Meine Haare sind nass.,My hair is wet.
220,natürlich,künstlich,natural,Das ist eine natürliche Reaktion.,That is a natural reaction.
221,neblig,klar,foggy,Es ist neblig draußen.,It is foggy outside.
222,neidisch,zufrieden,envious,Sie ist neidisch auf seinen Erfolg.,She is envious of his success.
223,nervös,ruhig,nervous,Ich bin nervös vor der Prüfung.,I am nervous before the exam.
224,nett,unfreundlich,nice,Er ist ein netter Mann.,He is a nice man.
225,neu,alt,new,Ich habe ein neues Auto.,I have a new car.
226,neugierig,desinteressiert,curious,Sie ist sehr neugierig.,She is very curious.
227,niedlich,hässlich,cute,Das Kätzchen ist niedlich.,The kitten is cute.
228,niedrig,hoch,low,Der Preis ist sehr niedrig.,The price is very low.
229,normal,unnormal,normal,Das ist eine normale Situation.,That is a normal situation.
230,nötig,unnötig,necessary,Das ist nicht nötig.,That is not necessary.
231,nutzlos,nützlich,useless,Das ist ein nutzloser Gegenstand.,That is a useless item.
232,offen,geschlossen,open,Die Tür ist offen.,The door is open.
233,öffentlich,privat,public,Das ist ein öffentlicher Park.,That is a public park.
234,offiziell,inoffiziell,official,Das ist eine offizielle Erklärung.,That is an official statement.
235,optimistisch,pessimistisch,optimistic,Er ist ein optimistischer Mensch.,He is an optimistic person.
236,ordentlich,unordentlich,tidy,Sein Zimmer ist ordentlich.,His room is tidy.
237,passend,unpassend,suitable,Das Kleid ist sehr passend.,The dress is very suitable.
238,passiv,aktiv,passive,Er ist eine passive Person.,He is a passive person.
239,peinlich,angenehm,embarrassing,Das war sehr peinlich.,That was very embarrassing.
240,perfekt,unvollkommen,perfect,Das ist die perfekte Lösung.,That is the perfect solution.
241,persönlich,unpersönlich,personal,Das ist meine persönliche Meinung.,That is my personal opinion.
242,pessimistisch,optimistisch,pessimistic,Er ist immer pessimistisch.,He is always pessimistic.
243,praktisch,unpraktisch,practical,Das ist eine praktische Lösung.,That is a practical solution.
244,privat,öffentlich,private,Das ist eine private Angelegenheit.,That is a private matter.
245,professionell,laienhaft,professional,Sie ist eine professionelle Fotografin.,She is a professional photographer.
246,pünktlich,unpünktlich,punctual,Sie ist immer pünktlich.,She is always punctual.
247,qualifiziert,unqualifiziert,qualified,Er ist qualifiziert für den Job.,He is qualified for the job.
248,realistisch,unrealistisch,realistic,Das ist eine realistische Einschätzung.,That is a realistic assessment.
249,reell,fiktiv,"real, actual",Das ist eine reelle Chance.,That is a real chance.
250,regelmäßig,unregelmäßig,regular,Ich gehe regelmäßig zum Sport.,I go to sports regularly.
251,reich,arm,rich,Er ist ein reicher Mann.,He is a rich man.
252,reichlich,knapp,plenty of,Es gibt reichlich zu essen.,There is plenty of food.
253,respektvoll,respektlos,respectful,Er ist respektvoll.,He is respectful.
254,richtig,falsch,"right, correct",Die Antwort ist richtig.,The answer is correct.
255,romantisch,unromantisch,romantic,Der Film ist romantisch.,The film is romantic.
256,ruhig,unruhig,"calm, quiet",Er ist ein ruhiger Mensch.,He is a calm person.
257,sachlich,emotional,"factual, objective",Er gibt eine sachliche Antwort.,He gives a factual answer.
258,sanft,hart,"gentle, soft",Sie hat eine sanfte Stimme.,She has a gentle voice.
259,sauber,schmutzig,clean,Das Zimmer ist sauber.,The room is clean.
260,sauer,süß,sour,Die Zitrone ist sauer.,The lemon is sour.
261,scharf,unscharf,"sharp, spicy",Die Suppe ist zu scharf.,The soup is too spicy.
262,schlecht,gut,bad,Das ist eine schlechte Nachricht.,That is a bad message.
263,schlimm,harmlos,"bad, serious",Die Verletzung ist nicht schlimm.,The injury is not serious.
264,schmutzig,sauber,dirty,Die Schuhe sind schmutzig.,The shoes are dirty.
265,schnell,langsam,fast,Er fährt sehr schnell.,He drives very fast.
266,schön,hässlich,beautiful,Die Stadt ist schön.,The city is beautiful.
267,schrecklich,herrlich,terrible,Das Wetter ist schrecklich.,The weather is terrible.
268,schüchtern,selbstbewusst,shy,Sie ist ein schüchternes Kind.,She is a shy child.
269,schwer,leicht,"heavy, difficult",Die Tasche ist schwer.,The bag is heavy.
270,schwierig,leicht,difficult,Die Prüfung ist sehr schwierig.,The exam is very difficult.
271,sicher,unsicher,"safe, sure",Du kannst sicher sein.,You can be sure.
272,sinnvoll,sinnlos,meaningful,Das ist eine sinnvolle Idee.,That is a meaningful idea.
273,sofort,später,immediately,Ich komme sofort.,I am coming immediately.
274,solid,instabil,"solid, strong",Das Haus ist sehr solid.,The house is very solid.
275,sonnig,bewölkt,sunny,Es ist ein sonniger Tag.,It is a sunny day.
276,sozial,asozial,social,Er ist ein sozialer Mensch.,He is a social person.
277,spannend,langweilig,"exciting, thrilling",Das Buch ist sehr spannend.,The book is very exciting.
278,spät,früh,late,Er ist spät zur Party gekommen.,He came to the party late.
279,spontan,geplant,spontaneous,Wir haben einen spontanen Ausflug gemacht.,We went on a spontaneous trip.
280,sportlich,unsportlich,"sporty, athletic",Er ist sehr sportlich.,He is very sporty.
281,stabil,instabil,stable,Die Brücke ist stabil.,The bridge is stable.
282,stark,schwach,strong,Er ist ein starker Mann.,He is a strong man.
283,still,laut,"silent, still",Das Wasser ist still.,The water is still.
284,stolz,beschämt,proud,Ich bin stolz auf dich.,I am proud of you.
285,streng,locker,strict,Der Lehrer ist streng.,The teacher is strict.
286,süß,"sauer, bitter",sweet,Der Kuchen ist süß.,The cake is sweet.
287,sympathisch,unsympathisch,"likable, nice",Sie ist sehr sympathisch.,She is very likable.
288,tatsächlich,fiktiv,actual,Das ist tatsächlich passiert.,That actually happened.
289,technisch,untechnisch,technical,Er hat technische Probleme.,He has technical problems.
290,teuer,billig,expensive,Das Auto ist teuer.,The car is expensive.
291,tief,flach,deep,Der See ist sehr tief.,The lake is very deep.
292,toll,furchtbar,"great, cool",Das ist eine tolle Idee.,That is a great idea.
293,traurig,glücklich,sad,Sie ist traurig.,She is sad.
294,treu,untreu,"loyal, faithful",Er ist ein treuer Freund.,He is a loyal friend.
295,trocken,nass,dry,Die Kleidung ist trocken.,The clothes are dry.
296,typisch,untypisch,typical,Das ist typisch für ihn.,That is typical for him.
297,übel,wohl,"sick, nauseous",Mir ist übel.,I feel sick.
298,unabhängig,abhängig,independent,Er ist unabhängig.,He is independent.
299,unbedingt,ungern,absolutely,Das muss unbedingt gemacht werden.,That absolutely has to be done.
300,unbequem,bequem,uncomfortable,Der Stuhl ist unbequem.,The chair is uncomfortable.
301,unfreundlich,freundlich,unfriendly,Er ist unfreundlich.,He is unfriendly.
302,ungeduldig,geduldig,impatient,Er ist sehr ungeduldig.,He is very impatient.
303,ungefähr,genau,approximate,Es dauert ungefähr eine Stunde.,It takes approximately one hour.
304,ungesund,gesund,unhealthy,Fast Food ist ungesund.,Fast food is unhealthy.
305,unglaublich,glaubhaft,unbelievable,Das ist unglaublich.,That is unbelievable.
306,unhöflich,höflich,impolite,Er ist unhöflich zu seinen Kollegen.,He is impolite to his colleagues.
307,unmöglich,möglich,impossible,Das ist unmöglich.,That is impossible.
308,unordentlich,ordentlich,messy,Dein Zimmer ist unordentlich.,Your room is messy.
309,unruhig,ruhig,"restless, uneasy",Er war unruhig.,He was restless.
310,unsicher,sicher,"unsure, unsafe",Die Lage ist unsicher.,The situation is unsafe.
311,unwichtig,wichtig,unimportant,Das ist eine unwichtige Information.,That is an unimportant piece of information.
312,verantwortlich,unverantwortlich,responsible,Er ist für das Projekt verantwortlich.,He is responsible for the project.
313,verrückt,normal,crazy,Du bist verrückt!,You are crazy!
314,verschieden,gleich,different,Die Meinungen sind verschieden.,The opinions are different.
315,vorsichtig,unvorsichtig,careful,Sei vorsichtig!,Be careful!
316,wach,müde,awake,Ich bin noch wach.,I am still awake.
317,wahr,falsch,TRUE,Das ist die wahre Geschichte.,That is the true story.
318,warm,kalt,warm,Es ist sehr warm heute.,It is very warm today.
319,weich,hart,soft,Das Kissen ist weich.,The pillow is soft.
320,weit,eng,far,Die Stadt ist weit entfernt.,The city is far away.
321,wenig,viel,"little, few",Ich habe wenig Zeit.,I have little time.
322,wertvoll,wertlos,valuable,Das ist ein wertvoller Stein.,That is a valuable stone.
323,wichtig,unwichtig,important,Das ist sehr wichtig.,That is very important.
324,willkürlich,geplant,arbitrary,Das war eine willkürliche Entscheidung.,That was an arbitrary decision.
325,wirklich,unwirklich,"real, true",Das ist wirklich der Fall.,That is truly the case.
326,wunderbar,furchtbar,wonderful,Die Aussicht ist wunderbar.,The view is wonderful.
327,zeitlich,zeitlos,temporal,Wir haben zeitliche Probleme.,We have temporal problems.
328,zentral,dezentral,central,Das Hotel liegt sehr zentral.,The hotel is very centrally located.
329,zufrieden,unzufrieden,satisfied,Ich bin sehr zufrieden.,I am very satisfied.
330,zusätzlich,fehlend,additional,Ich brauche zusätzliche Informationen.,I need additional information.
331,zwecklos,sinnvoll,pointless,Es ist zwecklos.,It is pointless.
332,zweisprachig,einsprachig,bilingual,Ich bin zweisprachig.,I am bilingual.
333,,,,,
334,,,,,
335,,,,,
336,,,,,
337,,,,,
338,,,,,
339,,,,,
340,,,,,
341,,,,,
342,,,,,
343,,,,,
344,,,,,
345,,,,,
346,,,,,
347,,,,,
348,,,,,
349,,,,,
350,,,,,
351,,,,,
352,,,,,
353,,,,,
354,,,,,
355,,,,,
356,,,,,
357,,,,,
358,,,,,
359,,,,,
360,,,,,
361,,,,,
362,,,,,
363,,,,,
364,,,,,
365,,,,,
366,,,,,
367,,,,,
368,,,,,
369,,,,,
370,,,,,
371,,,,,
372,,,,,
373,,,,,
374,,,,,
375,,,,,
376,,,,,
377,,,,,
378,,,,,
379,,,,,
380,,,,,
381,,,,,
382,,,,,
383,,,,,
384,,,,,
385,,,,,
386,,,,,
387,,,,,
388,,,,,
389,,,,,
390,,,,,
391,,,,,
392,,,,,
393,,,,,
394,,,,,
395,,,,,
396,,,,,
397,,,,,
398,,,,,
399,,,,,
400,,,,,
401,,,,,
402,,,,,
403,,,,,
404,,,,,
405,,,,,
406,,,,,
407,,,,,
408,,,,,
409,,,,,
410,,,,,
411,,,,,
412,,,,,
413,,,,,
414,,,,,
415,,,,,
416,,,,,
417,,,,,
418,,,,,
419,,,,,
420,,,,,
421,,,,,
422,,,,,
423,,,,,
424,,,,,
425,,,,,
426,,,,,
427,,,,,
428,,,,,
429,,,,,
430,,,,,
431,,,,,
432,,,,,
433,,,,,
434,,,,,
435,,,,,
436,,,,,
437,,,,,
438,,,,,
439,,,,,
440,,,,,
441,,,,,
442,,,,,
443,,,,,
444,,,,,
445,,,,,
446,,,,,
447,,,,,
448,,,,,
449,,,,,
450,,,,,
451,,,,,
452,,,,,
453,,,,,
454,,,,,
455,,,,,
456,,,,,
457,,,,,
458,,,,,
459,,,,,
460,,,,,
461,,,,,
462,,,,,
463,,,,,
464,,,,,
465,,,,,
466,,,,,
467,,,,,
468,,,,,
469,,,,,
470,,,,,
471,,,,,
472,,,,,
473,,,,,
474,,,,,
475,,,,,
476,,,,,
477,,,,,
478,,,,,
479,,,,,
480,,,,,
481,,,,,
482,,,,,
483,,,,,
484,,,,,
485,,,,,
486,,,,,
487,,,,,
488,,,,,
489,,,,,
490,,,,,
491,,,,,
492,,,,,
493,,,,,
494,,,,,
495,,,,,
496,,,,,
497,,,,,
498,,,,,
499,,,,,
500,,,,,
501,,,,,
502,,,,,
503,,,,,
504,,,,,
505,,,,,
506,,,,,
507,,,,,
508,,,,,
509,,,,,
510,,,,,
511,,,,,
512,,,,,
513,,,,,
514,,,,,
515,,,,,
516,,,,,
517,,,,,
518,,,,,
519,,,,,
520,,,,,
521,,,,,
522,,,,,
523,,,,,
524,,,,,
525,,,,,
526,,,,,
527,,,,,
528,,,,,
529,,,,,
530,,,,,
531,,,,,
532,,,,,
533,,,,,
534,,,,,
535,,,,,
536,,,,,
537,,,,,
538,,,,,
539,,,,,
540,,,,,
541,,,,,
542,,,,,
543,,,,,
544,,,,,
545,,,,,
546,,,,,